epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,11446.6,1.13601,0.77415,1.36228,0.20201,0.15629,0.149,0.08279,2.06677,2.02383,2.50553,0.000486875,0.000486875,0.000486875
76,11593.6,1.09227,0.7523,1.32182,0.20025,0.15507,0.14756,0.08311,1.98814,2.04836,2.45385,0.000476562,0.000476562,0.000476562
77,11737.7,1.10642,0.74578,1.34911,0.19721,0.15651,0.14778,0.08358,2.06481,1.95484,2.55062,0.00046625,0.00046625,0.00046625
78,11881,1.08149,0.75572,1.33098,0.19796,0.15625,0.15108,0.08654,2.05072,1.98931,2.51637,0.000455937,0.000455937,0.000455937
79,12027.2,1.06132,0.74658,1.31403,0.1986,0.15537,0.14514,0.08334,2.12803,1.86371,2.66953,0.000445625,0.000445625,0.000445625
80,12171.2,1.07062,0.75241,1.314,0.20231,0.15493,0.14964,0.08551,2.0988,1.84528,2.60635,0.000435312,0.000435312,0.000435312
81,12316.5,1.05368,0.72119,1.29818,0.20186,0.15478,0.14846,0.0837,2.09685,1.82857,2.63523,0.000425,0.000425,0.000425
82,12463.2,1.0476,0.72669,1.29772,0.19864,0.15618,0.14848,0.08363,2.11692,1.78521,2.683,0.000414688,0.000414688,0.000414688
83,12606.8,1.04313,0.73202,1.29867,0.19362,0.15533,0.14062,0.08059,2.18946,1.84548,2.83501,0.000404375,0.000404375,0.000404375
84,12761.6,1.03899,0.72716,1.29961,0.19851,0.15629,0.14795,0.0855,2.03607,1.93563,2.53233,0.000394063,0.000394063,0.000394063
85,12912.5,1.04442,0.72425,1.30102,0.19915,0.15658,0.15082,0.08721,2.06044,1.8554,2.59532,0.00038375,0.00038375,0.00038375
86,13064.8,1.01882,0.70583,1.27743,0.20199,0.15504,0.15235,0.09012,2.0326,1.96963,2.5885,0.000373437,0.000373437,0.000373437
87,13214.1,1.02825,0.71803,1.29383,0.20163,0.15419,0.14649,0.08497,2.07573,1.88606,2.70124,0.000363125,0.000363125,0.000363125
88,13369,1.01452,0.70124,1.27605,0.2046,0.15441,0.14604,0.08467,2.06684,1.85368,2.66872,0.000352812,0.000352812,0.000352812
89,13515.2,1.0013,0.68612,1.26831,0.20343,0.15632,0.14985,0.08741,1.99743,1.8818,2.54323,0.0003425,0.0003425,0.0003425
90,13660.8,1.00996,0.68882,1.26964,0.20359,0.1558,0.1485,0.08604,2.06113,1.79626,2.6405,0.000332187,0.000332187,0.000332187
91,13802.4,0.98813,0.67788,1.25666,0.20118,0.15901,0.15223,0.08703,2.05644,1.70524,2.59826,0.000321875,0.000321875,0.000321875
92,13943.6,0.98194,0.66695,1.24823,0.20255,0.15757,0.15466,0.09124,2.04333,1.80871,2.60341,0.000311563,0.000311563,0.000311563
93,14140.5,0.99202,0.66055,1.25864,0.20202,0.15732,0.15207,0.08891,2.04002,1.82254,2.6187,0.00030125,0.00030125,0.00030125
94,14284.1,0.98267,0.68035,1.25452,0.2041,0.15758,0.14921,0.08718,2.06285,1.70935,2.66692,0.000290937,0.000290937,0.000290937
95,14426.3,0.9584,0.65459,1.24753,0.20444,0.15691,0.14878,0.08657,2.0759,1.66537,2.68464,0.000280625,0.000280625,0.000280625
96,14568.1,0.95908,0.64376,1.23906,0.20185,0.15705,0.14794,0.08568,2.05938,1.66076,2.62808,0.000270313,0.000270313,0.000270313
97,14711.3,0.94191,0.64024,1.23181,0.20425,0.15709,0.14751,0.08673,2.10765,1.65191,2.74796,0.00026,0.00026,0.00026
98,14855,0.9511,0.6491,1.24397,0.20486,0.15728,0.14977,0.08878,2.07398,1.68147,2.69583,0.000249687,0.000249687,0.000249687
99,14999.8,0.94331,0.64823,1.22841,0.20116,0.15956,0.15141,0.08902,2.06377,1.62764,2.72448,0.000239375,0.000239375,0.000239375
100,15144.2,0.93139,0.62968,1.21752,0.20262,0.15835,0.15117,0.08853,2.04454,1.69271,2.68168,0.000229063,0.000229063,0.000229063
101,15287.8,0.925,0.633,1.22143,0.2022,0.15801,0.15227,0.08973,2.04124,1.66485,2.66918,0.00021875,0.00021875,0.00021875
102,15432.3,0.92407,0.61657,1.21645,0.20235,0.1589,0.15019,0.08807,2.02645,1.61151,2.66568,0.000208438,0.000208438,0.000208438
103,15575.9,0.92612,0.63919,1.22259,0.2014,0.15871,0.1509,0.08893,2.06339,1.59724,2.75104,0.000198125,0.000198125,0.000198125
104,15718.1,0.9222,0.63021,1.22488,0.20184,0.16071,0.15199,0.08965,2.03006,1.53601,2.70124,0.000187813,0.000187813,0.000187813
105,15860.8,0.90915,0.60782,1.20776,0.2034,0.15831,0.14944,0.08955,2.03185,1.62587,2.71976,0.0001775,0.0001775,0.0001775
