epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,11696.8,0.74535,0.3974,1.06397,0.78851,0.73156,0.7564,0.47249,1.15005,0.67543,1.33911,0.000155761,0.000155761,0.000155761
92,11823.9,0.72714,0.38924,1.04917,0.82261,0.7251,0.75847,0.47607,1.14958,0.67638,1.33837,0.000141614,0.000141614,0.000141614
93,11950.4,0.7312,0.38503,1.0503,0.81439,0.7301,0.75845,0.47535,1.13792,0.67027,1.33758,0.000127467,0.000127467,0.000127467
94,12077,0.72176,0.38308,1.0474,0.8289,0.73358,0.75581,0.47459,1.13518,0.65699,1.33978,0.00011332,0.00011332,0.00011332
95,12202.8,0.6998,0.36964,1.03551,0.81514,0.71955,0.74878,0.47346,1.136,0.67085,1.35339,9.91726e-05,9.91726e-05,9.91726e-05
96,12328.4,0.7042,0.37214,1.03578,0.80187,0.74721,0.76122,0.47468,1.13248,0.66957,1.34882,8.50255e-05,8.50255e-05,8.50255e-05
97,12455.4,0.69475,0.36455,1.0285,0.82224,0.7322,0.76008,0.47886,1.1339,0.66879,1.34626,7.08784e-05,7.08784e-05,7.08784e-05
98,12581.2,0.68651,0.36623,1.03154,0.82976,0.7199,0.75626,0.47869,1.13338,0.65562,1.35554,5.67313e-05,5.67313e-05,5.67313e-05
99,12707.2,0.69533,0.36326,1.03252,0.79534,0.73982,0.7563,0.48027,1.13563,0.6595,1.35452,4.25842e-05,4.25842e-05,4.25842e-05
100,12833,0.67848,0.35726,1.02396,0.81674,0.74194,0.75675,0.47735,1.13006,0.65943,1.3491,2.84371e-05,2.84371e-05,2.84371e-05
