epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,1315.39,0.67371,0.39444,1.01401,0.99934,1,0.995,0.81167,0.80148,0.35196,0.99273,0.000159357,0.000159357,0.000159357
164,1323.5,0.67404,0.392,1.01119,0.99914,1,0.995,0.83556,0.72215,0.3354,0.95944,0.000152156,0.000152156,0.000152156
165,1331.72,0.71074,0.42434,1.06834,0.99897,1,0.995,0.84886,0.65747,0.31908,0.93321,0.000145125,0.000145125,0.000145125
166,1340.56,0.65333,0.38041,1.00749,0.99898,1,0.995,0.85237,0.64896,0.31831,0.92857,0.000138266,0.000138266,0.000138266
167,1350.17,0.67623,0.38902,1.01558,0.99909,1,0.995,0.84358,0.68019,0.3268,0.93743,0.000131581,0.000131581,0.000131581
168,1358.37,0.64866,0.37671,0.99839,0.99934,1,0.995,0.82869,0.74098,0.33824,0.96021,0.000125071,0.000125071,0.000125071
169,1366.52,0.63304,0.3574,0.99789,0.9994,1,0.995,0.81565,0.79137,0.34556,0.97906,0.000118737,0.000118737,0.000118737
170,1374.69,0.69987,0.39749,1.04562,0.99931,1,0.995,0.81577,0.78486,0.34444,0.98049,0.000112583,0.000112583,0.000112583
171,1382.83,0.68943,0.39559,1.0236,0.99925,1,0.995,0.83156,0.71385,0.32783,0.95523,0.000106608,0.000106608,0.000106608
172,1390.95,0.65888,0.38333,0.98911,0.99922,1,0.995,0.84762,0.64634,0.31833,0.93282,0.000100814,0.000100814,0.000100814
173,1399.05,0.6807,0.38869,1.02809,0.99926,1,0.995,0.85539,0.61868,0.3138,0.9222,9.52034e-05,9.52034e-05,9.52034e-05
174,1408,0.6579,0.37891,1.01172,0.99926,1,0.995,0.8562,0.61874,0.31466,0.92155,8.97769e-05,8.97769e-05,8.97769e-05
175,1416.93,0.71422,0.40759,1.04875,0.99929,1,0.995,0.84988,0.64778,0.32035,0.9296,8.4536e-05,8.4536e-05,8.4536e-05
176,1425.09,0.65531,0.37062,1.00214,0.99936,1,0.995,0.83449,0.70656,0.33236,0.9492,7.94819e-05,7.94819e-05,7.94819e-05
177,1433.1,0.67509,0.38248,1.00007,0.99939,1,0.995,0.81892,0.75332,0.34005,0.965,7.4616e-05,7.4616e-05,7.4616e-05
178,1441.44,0.646,0.36832,0.99414,0.99934,1,0.995,0.82007,0.76138,0.33997,0.97034,6.99393e-05,6.99393e-05,6.99393e-05
179,1449.88,0.69387,0.37785,1.02058,0.9993,1,0.995,0.82683,0.73877,0.33302,0.96325,6.54531e-05,6.54531e-05,6.54531e-05
180,1458.26,0.65132,0.34666,1.01077,0.99927,1,0.995,0.83086,0.72469,0.33029,0.95986,6.11585e-05,6.11585e-05,6.11585e-05
181,1466.44,0.62781,0.36179,1.00361,0.99924,1,0.995,0.83406,0.71301,0.32841,0.95556,5.70564e-05,5.70564e-05,5.70564e-05
182,1474.68,0.63348,0.36923,0.99893,0.99925,1,0.995,0.83668,0.71177,0.32579,0.95364,5.31481e-05,5.31481e-05,5.31481e-05
183,1484.75,0.63705,0.35574,0.98563,0.99929,1,0.995,0.83519,0.71235,0.32492,0.95187,4.94343e-05,4.94343e-05,4.94343e-05
